Time,x,y,z
4.925,-8.882090194406408e-12,-1.075807169608894e-11,3.728399783440368e-12
4.926,8.812420844460759e-12,1.0422476110950546e-11,4.3994287393963194e-13
4.927,-8.863107189055631e-12,-1.077756428444017e-11,3.535263082363366e-12
4.928,8.79510563444507e-12,1.0431151919871986e-11,4.1800062037027036e-13
4.932,-8.860815647158647e-12,-1.0791214485703445e-11,3.544403715058441e-12
4.932,8.789580428512967e-12,1.0436519967328769e-11,4.1199439707395416e-13
4.934,-8.864208599074025e-12,-1.079998146776893e-11,3.5534415549793857e-12
4.9350000000000005,8.789289930863501e-12,1.0435739127439265e-11,4.0575819107788623e-13
4.9350000000000005,-8.874425561533865e-12,-1.0803087238860935e-11,3.5462871667866376e-12
4.9350000000000005,8.795528725185186e-12,1.04282771511734e-11,4.2688261273400486e-13
4.9350000000000005,-8.892344970142455e-12,-1.0799865955841497e-11,3.528963385488723e-12
4.947,8.80936202323772e-12,1.0414012539510094e-11,4.449631636788578e-13
4.947,-8.918283595593872e-12,-1.078991155838578e-11,3.49723071344382e-12
4.947,8.835470909518708e-12,1.0382790883150072e-11,4.872974525302468e-13
4.947,-8.98500259254098e-12,-1.0769267868732805e-11,3.6743416227172335e-12
4.947,8.891071418377206e-12,1.0368420750940672e-11,5.5182167183048e-13
4.948,-9.010703891845911e-12,-1.0747250230174965e-11,3.380648303054119e-12
4.948,8.919510850444843e-12,1.0334735593412151e-11,5.989138769648104e-13
4.948,-9.055515881930316e-12,-1.071842412615975e-11,3.320626981808883e-12
4.949,8.967434057499762e-12,1.0289136902438141e-11,6.719918234354078e-13
4.949,-9.140322146386585e-12,-1.0681553193247531e-11,3.5012520661448953e-12
4.949,9.042854649462565e-12,1.0266638508053833e-11,7.617673715410278e-13
4.95,-9.171011393832497e-12,-1.0646146621603892e-11,3.159625186582931e-12
4.95,9.080224131927555e-12,1.0227332826767886e-11,8.202000330269243e-13
4.9510000000000005,-9.215354580458273e-12,-1.060798421909577e-11,3.0966868376072734e-12
4.9510000000000005,9.126154179076636e-12,1.0191679874094625e-11,8.851346046343347e-13
4.9510000000000005,-9.254680356713963e-12,-1.0569403241769248e-11,3.0296675863487275e-12
4.952,9.167896987946402e-12,1.0157888655895964e-11,9.48140580070163e-13
